Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
G L Metallica Pvt. Ltd.,CRISIL,Term loans,B,2025-06-12,376.0,ULTRA HOT,True,,1.11,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 376.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shri Khatu Shyam Alloys Pvt. Ltd.,CRISIL | IND-RA,Bank Guarantee | Non-government debt,A 4+,2025-08-21,376.0,ULTRA HOT,True,,9.00 | 30.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL | IND-RA has been INC for 376.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hansa Metallics Ltd.,BRICKWORK | CRISIL,Letter Of credit | Long term Loans | Term loans,A 4,2025-10-10,375.0,ULTRA HOT,True,,27.50 | 27.20,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CRISIL has been INC for 375.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
J S Auto Cast Foundry India Pvt. Ltd.,ACUITE | CRISIL | ICRA,Letter Of credit | Non-government debt | Term loans,A+/A1,2026-02-02,375.0,ULTRA HOT,True,,75.00 | 198.10,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | CRISIL | ICRA has been INC for 375.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Nirav Metals Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-06-13,375.0,ULTRA HOT,True,,1.00 | 1.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 375.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ramesh Iron & Steel Co. India Pvt. Ltd.,CARE | IND-RA,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument,BB,2025-11-21,375.0,ULTRA HOT,True,,2.00 | 5.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CARE | IND-RA has been INC for 375.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Magadh Iron Private Limited,Infomerics,Long Term Bank Facility,IVR B (INC) (Downgraded),2025-06-13,375.0,ULTRA HOT,True,Infomerics,Rs. 36.52 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 375.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rama Ferro Alloys & Finance Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-06-16,372.0,ULTRA HOT,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 372.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Superfine Metals Pvt. Ltd.,ACUITE | BRICKWORK,Letter Of credit | Term loans,D,2025-08-25,372.0,ULTRA HOT,True,,13.00 | 9.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | BRICKWORK has been INC for 372.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
R N Metals Pvt. Ltd.,BRICKWORK,Non-government debt,C,2025-06-17,371.0,ULTRA HOT,True,,15.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 371.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Om Shree Rupesh Steel Pvt. Ltd.,CRISIL,Fund based financial facility/instrument | Term loans,BB+,2025-11-26,370.0,ULTRA HOT,True,,10.19 | 39.68,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 370.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
H A Q Steels Pvt. Ltd.,ACUITE | CARE | IND-RA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt,B-,2026-03-06,369.0,ULTRA HOT,True,,26.00 | 6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | CARE | IND-RA has been INC for 369.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hill-Brow Metallics & Construction Pvt. Ltd.,BRICKWORK | IND-RA,Bank Guarantee | Non-fund based working capital limit | Non-government debt,C,2025-10-30,369.0,ULTRA HOT,True,,15.00 | 23.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | IND-RA has been INC for 369.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kairali Steels & Alloys Pvt. Ltd.,CARE | CRISIL | IND-RA,Letter Of credit | Non-government debt | Term loans,A 4,2025-12-19,369.0,ULTRA HOT,True,,35.00 | 34.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CARE | CRISIL | IND-RA has been INC for 369.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kalapurna Steel & Engg. Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit,A 4,2025-06-19,369.0,ULTRA HOT,True,,2.50 | 17.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 369.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kay Bee Indl. Alloys Pvt. Ltd.,CRISIL,Bank Guarantee | Short-term loan,A 4,2025-06-19,369.0,ULTRA HOT,True,,0.20 | 4.80,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 369.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sacheta Metals Ltd.,ICRA,Non-fund-based financial facility/instrument | Short-term loan,A 4,2025-06-23,365.0,ULTRA HOT,True,,6.20,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 365.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Pioneer Steels,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-06-23,365.0,ULTRA HOT,True,Infomerics,Rs. 71.50 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 365.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kay E M Copper Pvt. Ltd.,BRICKWORK,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,D,2025-06-24,364.0,HOT,True,,12.00 | 0.20,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 364.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
U P L Environmental Engineers Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument,A 4,2025-06-24,364.0,HOT,True,,11.00 | 0.75,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 364.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
West Well Iron & Steel Pvt. Ltd.,CRISIL | IND-RA,Bank Guarantee | Long term Loans | Non-fund based working capital limit,A 4,2026-02-28,364.0,HOT,True,,12.75 | 3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 364.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Abhirama Steels Ltd.,BRICKWORK | IND-RA,Term loans,D,2025-08-04,363.0,HOT,True,,1.62 | 3.80,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Accent Metals Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,D,2025-06-25,363.0,HOT,True,,21.96 | 0.40,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ambekeshwar Steels Pvt. Ltd.,IND-RA,Term loans,B-,2025-06-25,363.0,HOT,True,,4.43,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
B M C Ferrocast Pvt. Ltd.,CRISIL,Long term Loans,B,2025-06-25,363.0,HOT,True,,13.60,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Batliboi Environmental Engineering Ltd. [Merged],ACUITE | IND-RA,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-07-29,363.0,HOT,True,,0.25 | 19.75,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bhadrashree Steel & Power Ltd.,BRICKWORK | IND-RA,Non-government debt | Term loans,B,2025-06-25,363.0,HOT,True,,21.00 | 0.51,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bhandari Steels Ltd.,CRISIL,Fund based financial facility/instrument | Letter Of credit | Long term Loans,B+,2025-06-25,363.0,HOT,True,,11.00 | 5.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Champion Rolling Mill Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 4+,2025-06-25,363.0,HOT,True,,14.00 | 2.34,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Emjay Steel Udyyog Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 4,2025-06-25,363.0,HOT,True,,15.00 | 13.80,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Gokul Steels Pvt. Ltd.,CRISIL | IND-RA,Long term Loans | Term loans,B,2026-03-18,363.0,HOT,True,,3.92 | 3.05,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hindustan Ferro Alloy Inds. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-06-25,363.0,HOT,True,,6.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hy Tuf Steels Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 4+,2025-06-25,363.0,HOT,True,,0.80 | 3.48,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
India Steel Continental Pvt. Ltd.,CARE | CRISIL | IND-RA,Bank Guarantee | Letter Of credit | Non-fund based working capital limit,A 4,2025-11-04,363.0,HOT,True,,1.50 | 19.47,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Iron Triangle Ltd.,CARE | CRISIL | ICRA,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A/A1,2026-02-05,363.0,HOT,True,,160.00 | 525.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL | ICRA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
L Madanlal (Aluminium) Ltd.,ACUITE | IND-RA,Letter Of credit | Non-fund based working capital limit,A 4,2026-04-15,363.0,HOT,True,,1.00 | 2.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shri Satguru Metalloys Pvt. Ltd.,BRICKWORK,Term loans,C,2025-06-25,363.0,HOT,True,,1.96,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
J S S Steelitalia Ltd. [Merged],ACUITE | CRISIL,Letter Of credit | Long term Loans,A 4,2025-12-10,362.0,HOT,True,,5.00 | 10.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kedar Metals Pvt. Ltd.,ACUITE | ICRA,Long term Loans | Non-fund-based financial facility/instrument,A 4,2026-03-13,362.0,HOT,True,,2.00 | 0.12,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | ICRA has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mahamaya Steel Inds. Ltd.,CARE | ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,A 4,2025-11-27,362.0,HOT,True,,36.00 | 10.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | ICRA has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Paras Bhavani Steel Pvt. Ltd.,ACUITE | CARE,Fund based financial facility/instrument | Letter Of credit | Long term Loans,D,2026-02-06,362.0,HOT,True,,22.00 | 6.68,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CARE has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Pentagon Aluminium Co. Pvt. Ltd.,CARE,Term loans,D,2025-06-26,362.0,HOT,True,,12.08,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Pradeep Stainless India Pvt. Ltd.,CRISIL,Letter Of credit | Long term Loans,A 3,2026-04-09,358.0,HOT,True,,7.00 | 3.71,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 358.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ramnik Power & Alloys Pvt. Ltd.,CRISIL | IND-RA,Long term Loans | Non-government debt | Term loans,BBB,2025-10-08,358.0,HOT,True,,4.93 | 104.14,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 358.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sagar Metallics Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-06-30,358.0,HOT,True,Infomerics,Rs. 14.57 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 358.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rohit Iron & Steel (India) Pvt. Ltd.,BRICKWORK,Non-government debt,BB+/A4+,2025-07-01,357.0,HOT,True,,25.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 357.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Super Iron Foundry Ltd.,BRICKWORK | CARE | CRISIL,Bank Guarantee | Term loans,A 4,2026-03-25,357.0,HOT,True,,1.79 | 1.84,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 357.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Lall Steels Pvt. Ltd.,CARE,Non-government debt | Term loans,BB-/A4,2025-07-03,355.0,HOT,True,,8.11 | 13.55,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 355.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ratnadeep Metal & Tubes Ltd.,CRISIL | IND-RA,Bank Guarantee | Letter Of credit | Non-fund based working capital limit,A 3+,2026-04-28,354.0,HOT,True,,6.00 | 48.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 354.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ambey Metallic Pvt. Ltd.,ACUITE,Bank Guarantee | Letter Of credit,A 4+,2025-07-07,351.0,HOT,True,,0.35 | 18.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 351.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Eswari Global Metal Inds. Pvt. Ltd.,ACUITE,Letter Of credit | Long term Loans,A 4+,2025-07-07,351.0,HOT,True,,12.00 | 0.12,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 351.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Dhanlaxmi Iron Inds. Pvt. Ltd.,CRISIL | ICRA,Bank Guarantee | Letter Of credit,A 4+,2025-07-30,350.0,HOT,True,,8.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | ICRA has been INC for 350.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Stalwart Alloys India Ltd.,BRICKWORK,Fund based financial facility/instrument | Letter Of credit,B,2025-07-08,350.0,HOT,True,,1.07 | 20.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 350.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Armour Steel Buildings India Pvt. Ltd.,CARE | CRISIL,Bank Guarantee | Long term Loans | Non-government debt,A 4,2025-08-12,348.0,HOT,True,,2.00 | 4.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 348.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Nilanjan Iron Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4+,2025-07-10,348.0,HOT,True,,2.00 | 7.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 348.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shanti Metalfab Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-11,347.0,HOT,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 347.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shree Krishna Rolling Mills (Jaipur) Ltd.,BRICKWORK | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,A 4,2025-12-18,347.0,HOT,True,,12.00 | 4.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 347.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shritirupati Steelcast Ltd.,CRISIL,Term loans,BB+,2025-07-11,347.0,HOT,True,,11.68,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 347.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Patson Steels Pvt. Ltd.,BRICKWORK | CRISIL,Fund based financial facility/instrument,B+,2025-08-28,344.0,HOT,True,,12.00 | 5.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 344.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Calcast Ferrous Ltd.,CRISIL,Bank Guarantee | Letter Of credit,A 4+,2025-07-15,343.0,HOT,True,,4.00 | 0.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 343.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
R P Multimetals Ltd.,BRICKWORK | CARE | CRISIL,Fund based financial facility/instrument | Letter Of credit | Term loans,A 4,2025-09-17,343.0,HOT,True,,30.00 | 7.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 343.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
G B R Metals Pvt. Ltd.,BRICKWORK | CARE,Fund based financial facility/instrument | Letter Of credit | Non-government debt,B+/A4,2025-12-22,342.0,HOT,True,,4.00 | 1.44,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE has been INC for 342.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Millenium Steel India Pvt. Ltd.,CARE | CRISIL,Letter Of credit | Long term Loans,A 4,2025-10-09,342.0,HOT,True,,16.00 | 0.75,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 342.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sical Iron Ore Terminals Ltd.,ICRA,Long term Loans | Non-fund-based financial facility/instrument | Short-term loan,D,2025-07-16,342.0,HOT,True,,60.00 | 500.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ICRA has been INC for 342.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Punjab Metal Works Pvt. Ltd.,CRISIL | IND-RA,Letter Of credit | Non-government debt,A 4,2026-04-02,341.0,HOT,True,,5.00 | 5.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 341.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sarvottam Rolling Mills Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-07-17,341.0,HOT,True,Infomerics,Rs. 15.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 341.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Apollo Vikas Steels Pvt. Ltd.,BRICKWORK | CRISIL,Letter Of credit,A 4,2025-10-15,340.0,HOT,True,,46.00 | 42.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mascom Steel (India) Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,340.0,HOT,True,,4.80,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Meghalaya Cast & Alloys Pvt. Ltd.,CRISIL | IND-RA,Bank Guarantee | Non-fund based working capital limit | Term loans,A 4,2025-10-09,340.0,HOT,True,,2.13 | 1.01,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Nexus Electro Steel Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,D,2025-07-18,340.0,HOT,True,,1.50 | 33.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Niagara Metals India Ltd.,CARE | IND-RA,Bank Guarantee | Letter Of credit | Non-fund based working capital limit,D,2025-11-18,340.0,HOT,True,,16.00 | 2.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Pioneer Torsteel Mills Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,D,2025-07-18,340.0,HOT,True,,4.00 | 18.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
S M E Steels Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,340.0,HOT,True,,0.21,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sarvottam Rolling Mills Pvt. Ltd.,CARE | IND-RA,Bank Guarantee | Non-fund based working capital limit | Non-government debt,A 4,2026-03-19,340.0,HOT,True,,5.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Venus Alloys Pvt. Ltd.,ACUITE | IND-RA,Long term Loans | Term loans,B+,2026-01-06,340.0,HOT,True,,21.91 | 5.40,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Yazdani Steel & Power Ltd.,ACUITE | IND-RA,Bank Guarantee | Letter Of credit | Long term Loans,D,2025-07-23,340.0,HOT,True,,7.51 | 43.49,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 340.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Saluja Steel & Power Pvt. Ltd.,CARE | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4,2026-02-27,337.0,HOT,True,,8.50 | 14.15,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 337.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
