Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Indo Sponge Power & Steel Ltd.,IND-RA,Term loans,D,2025-09-11,285.0,HOT,True,,13.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 285.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mehta Intertrade Steels Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2025-09-11,285.0,HOT,True,,84.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 285.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Nikki Steels Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2025-09-11,285.0,HOT,True,,10.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 285.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Prateek Alloys Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2025-09-11,285.0,HOT,True,,22.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 285.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Lahliwala Steels Pvt. Ltd.,CRISIL,Bank Guarantee | Long term Loans,A 4,2025-09-12,284.0,HOT,True,,0.35 | 1.55,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 284.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Devi Iron & Power Pvt. Ltd.,CARE | ICRA,Letter Of credit | Non-fund-based financial facility/instrument | Term loans,A 4,2026-04-21,281.0,HOT,True,,17.50 | 15.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | ICRA has been INC for 281.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Jagdamba Liquified Steels Ltd.,ACUITE | BRICKWORK | CRISIL,Bank Guarantee | Long term Loans | Term loans,D,2026-02-24,281.0,HOT,True,,3.25 | 2.54,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | BRICKWORK | CRISIL has been INC for 281.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
J S B Aluminium Pvt. Ltd.,CARE | ICRA,Term loans,B+,2026-03-06,280.0,HOT,True,,4.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | ICRA has been INC for 280.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Narbheram Power & Steel Pvt. Ltd.,ACUITE | IND-RA,Bank Guarantee | Non-government debt | Term loans,BBB+/A2,2026-04-28,280.0,HOT,True,,50.00 | 292.08,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 280.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Crescent Foundry Co. Pvt. Ltd.,CRISIL,Bank Guarantee | Term loans,A-,2025-11-06,279.0,HOT,True,,49.35 | 7.75,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 279.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Minmat Ferro Alloys Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-09-17,279.0,HOT,True,,0.25 | 1.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 279.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sul Steel Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4,2025-09-17,279.0,HOT,True,,5.00 | 17.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 279.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sharu Steels Pvt. Ltd.,BRICKWORK | CRISIL | ICRA,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2026-03-06,278.0,HOT,True,,20.00 | 8.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL | ICRA has been INC for 278.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
South Malabar Steels & Alloys Pvt. Ltd.,CARE,Bank Guarantee | Term loans,A 4,2025-09-18,278.0,HOT,True,,1.50 | 1.02,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 278.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Chintpurni Steels Pvt. Ltd.,BRICKWORK | CARE | CRISIL,Bank Guarantee | Non-government debt | Term loans,B-/A4,2026-02-05,277.0,HOT,True,,1.50 | 20.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 277.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kannappan Alloy & Steel Co. Pvt. Ltd.,ACUITE | CRISIL,Letter Of credit | Long term Loans | Term loans,A 4,2026-03-20,274.0,HOT,True,,6.00 | 1.24,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 274.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
G S Alloy Castings Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-09-23,273.0,HOT,True,,0.25 | 6.07,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 273.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Magnum Steels Ltd.,CARE,Term loans,D,2025-09-23,273.0,HOT,True,,14.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 273.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Goyal Energy & Steel Pvt. Ltd.,CARE | CRISIL,Fund based financial facility/instrument | Letter Of credit | Short-term loan,D,2025-12-10,272.0,HOT,True,,20.00 | 11.54,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
National Steel & Agro Industries Ltd. [Merged],ICRA | IND-RA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,D,2026-01-12,272.0,HOT,True,,1199.52 | 17.95,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ICRA | IND-RA has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rana Steels India Pvt. Ltd.,BRICKWORK | CARE,Letter Of credit | Non-government debt | Term loans,D,2025-10-07,272.0,HOT,True,,4.00 | 3.59,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shivam Hi-Tech Steels Pvt. Ltd.,CRISIL | ICRA,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2026-01-23,272.0,HOT,True,,15.61 | 2.54,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | ICRA has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shree Shailja Iron & Steels Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-09-24,272.0,HOT,True,,4.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
