Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Joshi Automobiles Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,03-04-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Cyber Automobiles Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,03-04-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Wyan Industries Pvt. Ltd.,Term loans,BRICKWORK,C,03-04-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Whitelotus Industries Ltd.,Term loans,ACUITE,B-,15-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
J P L Industries Ltd.,Term loans,CARE,B+,14-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
S J B Automobiles Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,14-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Span Pumps Pvt. Ltd.,Bank Guarantee,CARE,A 4,14-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Sahara Engineering Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Gen Next Motors Ltd.,Term loans,IND-RA,D,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Gemus Engineering Ltd.,Non-government debt,IND-RA,D,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
