Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Yalavarti Projects Pvt. Ltd.,50.0,1,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
B K Sons Infrastructure Pvt. Ltd.,50.0,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
K S D Construction,50.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Dec 2026,5,Single Quarter
Sunny Infraprojects Private Limited,48.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
G V R Infraconstructions India Pvt. Ltd.,47.0,1,ACUITE,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
G S C O Infrastructure Pvt. Ltd.,46.4,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Ratan Buildtech Pvt. Ltd.,45.0,1,BRICKWORK,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Bulland Buildtech Pvt. Ltd.,45.0,1,CARE,Fund based financial facility/instrument,Q2 2027,Apr 2027,3,Single Quarter
K N K Construction Pvt. Ltd.,45.0,2,ICRA,Non-fund-based financial facility/instrument / Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
P R G Buildcon India Pvt. Ltd.,43.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Antony Road Transport Solutions Pvt. Ltd.,41.43,1,CARE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Sowparnika Projects & Infrastructure Pvt. Ltd.,41.3,1,ICRA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Crescon Projects & Services Pvt. Ltd.,41.0,2,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
P P Kharpatil Constructions Pvt. Ltd.,41.0,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Dec 2026,5,Single Quarter
M M Shawl Engineers & Contractors Pvt. Ltd.,40.0,1,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Apurvakriti Infrastructure Pvt. Ltd.,40.0,4,ACUITE + CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Ambuj Hotel and Real Estate Private Limited,40.0,1,Infomerics,Long Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
M S V Constructions Company,40.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Dec 2026,5,Single Quarter
K N K Projects Pvt. Ltd.,39.0,2,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
